Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Links
413630,씨피시스템,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/413630/total"" target=""_blank"">Naver Mobile</a>"
278470,에이피알,89.875,99.7,86.4,98.4,75.0,"<a href=""https://m.stock.naver.com/domestic/stock/278470/total"" target=""_blank"">Naver Mobile</a>"
035900,JYP Ent.,89.825,87.0,89.1,98.0,85.2,"<a href=""https://m.stock.naver.com/domestic/stock/035900/total"" target=""_blank"">Naver Mobile</a>"
018290,브이티,89.44999999999999,100.0,84.7,91.5,81.6,"<a href=""https://m.stock.naver.com/domestic/stock/018290/total"" target=""_blank"">Naver Mobile</a>"
402340,SK스퀘어,89.1,,,89.1,,"<a href=""https://m.stock.naver.com/domestic/stock/402340/total"" target=""_blank"">Naver Mobile</a>"
003230,삼양식품,88.49999999999999,100.0,81.2,87.1,85.7,"<a href=""https://m.stock.naver.com/domestic/stock/003230/total"" target=""_blank"">Naver Mobile</a>"
260970,에스앤디,88.275,100.0,78.8,98.8,75.5,"<a href=""https://m.stock.naver.com/domestic/stock/260970/total"" target=""_blank"">Naver Mobile</a>"
036000,예림당,87.83333333333333,100.0,66.0,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/036000/total"" target=""_blank"">Naver Mobile</a>"
408920,메쎄이상,87.73333333333333,,84.3,98.8,80.1,"<a href=""https://m.stock.naver.com/domestic/stock/408920/total"" target=""_blank"">Naver Mobile</a>"
251970,펌텍코리아,87.47500000000001,99.0,72.8,98.3,79.8,"<a href=""https://m.stock.naver.com/domestic/stock/251970/total"" target=""_blank"">Naver Mobile</a>"
335890,비올,87.25,99.9,100.0,98.3,50.8,"<a href=""https://m.stock.naver.com/domestic/stock/335890/total"" target=""_blank"">Naver Mobile</a>"
253590,네오셈,86.825,96.0,75.8,96.5,79.0,"<a href=""https://m.stock.naver.com/domestic/stock/253590/total"" target=""_blank"">Naver Mobile</a>"
101490,에스앤에스텍,86.55,94.4,78.6,98.2,75.0,"<a href=""https://m.stock.naver.com/domestic/stock/101490/total"" target=""_blank"">Naver Mobile</a>"
045340,토탈소프트,86.0,97.9,88.4,81.8,75.9,"<a href=""https://m.stock.naver.com/domestic/stock/045340/total"" target=""_blank"">Naver Mobile</a>"
339950,아이비김영,85.4,92.6,80.8,75.8,92.4,"<a href=""https://m.stock.naver.com/domestic/stock/339950/total"" target=""_blank"">Naver Mobile</a>"
002290,삼일기업공사,85.4,99.4,53.4,98.3,90.5,"<a href=""https://m.stock.naver.com/domestic/stock/002290/total"" target=""_blank"">Naver Mobile</a>"
052600,한네트,85.32499999999999,86.7,75.5,97.2,81.9,"<a href=""https://m.stock.naver.com/domestic/stock/052600/total"" target=""_blank"">Naver Mobile</a>"
145020,휴젤,84.925,97.4,93.5,98.8,50.0,"<a href=""https://m.stock.naver.com/domestic/stock/145020/total"" target=""_blank"">Naver Mobile</a>"
214450,파마리서치,84.67500000000001,100.0,92.8,97.9,48.0,"<a href=""https://m.stock.naver.com/domestic/stock/214450/total"" target=""_blank"">Naver Mobile</a>"
031980,피에스케이홀딩스,84.67500000000001,95.5,93.7,85.9,63.6,"<a href=""https://m.stock.naver.com/domestic/stock/031980/total"" target=""_blank"">Naver Mobile</a>"
003350,한국화장품제조,84.65,96.1,70.4,93.1,79.0,"<a href=""https://m.stock.naver.com/domestic/stock/003350/total"" target=""_blank"">Naver Mobile</a>"
196170,알테오젠,84.6,100.0,84.9,68.1,85.4,"<a href=""https://m.stock.naver.com/domestic/stock/196170/total"" target=""_blank"">Naver Mobile</a>"
052420,오성첨단소재,84.25,87.6,77.6,98.4,73.4,"<a href=""https://m.stock.naver.com/domestic/stock/052420/total"" target=""_blank"">Naver Mobile</a>"
119850,지엔씨에너지,83.975,80.8,72.3,92.7,90.1,"<a href=""https://m.stock.naver.com/domestic/stock/119850/total"" target=""_blank"">Naver Mobile</a>"
020710,시공테크,83.925,100.0,62.4,85.8,87.5,"<a href=""https://m.stock.naver.com/domestic/stock/020710/total"" target=""_blank"">Naver Mobile</a>"
030190,NICE평가정보,83.47500000000001,70.4,79.5,97.7,86.3,"<a href=""https://m.stock.naver.com/domestic/stock/030190/total"" target=""_blank"">Naver Mobile</a>"
403870,HPSP,83.23333333333333,,97.1,96.3,56.3,"<a href=""https://m.stock.naver.com/domestic/stock/403870/total"" target=""_blank"">Naver Mobile</a>"
033500,동성화인텍,83.02499999999999,98.6,74.1,85.7,73.7,"<a href=""https://m.stock.naver.com/domestic/stock/033500/total"" target=""_blank"">Naver Mobile</a>"
034950,한국기업평가,82.9,79.0,93.8,84.7,74.1,"<a href=""https://m.stock.naver.com/domestic/stock/034950/total"" target=""_blank"">Naver Mobile</a>"
