Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Activity,Links
475560,더본코리아,,97.5,,,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/475560/total"" target=""_blank"">Naver Mobile</a>"
402340,SK스퀘어,,96.23333333333333,100.0,92.9,95.8,,"<a href=""https://m.stock.naver.com/domestic/stock/402340/total"" target=""_blank"">Naver Mobile</a>"
003350,한국화장품제조,,91.75,100.0,86.6,98.0,82.4,"<a href=""https://m.stock.naver.com/domestic/stock/003350/total"" target=""_blank"">Naver Mobile</a>"
030190,NICE평가정보,,89.95,97.1,82.0,97.7,83.0,"<a href=""https://m.stock.naver.com/domestic/stock/030190/total"" target=""_blank"">Naver Mobile</a>"
011200,HMM,,88.57499999999999,100.0,90.1,85.3,78.9,"<a href=""https://m.stock.naver.com/domestic/stock/011200/total"" target=""_blank"">Naver Mobile</a>"
004800,효성,,88.3,100.0,91.8,73.1,,"<a href=""https://m.stock.naver.com/domestic/stock/004800/total"" target=""_blank"">Naver Mobile</a>"
109070,주성코퍼레이션,,88.19999999999999,100.0,66.0,95.2,91.6,"<a href=""https://m.stock.naver.com/domestic/stock/109070/total"" target=""_blank"">Naver Mobile</a>"
278470,에이피알,,88.07499999999999,100.0,88.7,96.1,67.5,"<a href=""https://m.stock.naver.com/domestic/stock/278470/total"" target=""_blank"">Naver Mobile</a>"
003230,삼양식품,,87.92500000000001,100.0,79.9,87.9,83.9,"<a href=""https://m.stock.naver.com/domestic/stock/003230/total"" target=""_blank"">Naver Mobile</a>"
114090,GKL,,87.8,87.8,76.9,96.3,90.2,"<a href=""https://m.stock.naver.com/domestic/stock/114090/total"" target=""_blank"">Naver Mobile</a>"
383800,LX홀딩스,,87.73333333333333,100.0,65.7,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/383800/total"" target=""_blank"">Naver Mobile</a>"
227840,현대코퍼레이션홀딩스,,87.60000000000001,92.4,72.9,97.5,,"<a href=""https://m.stock.naver.com/domestic/stock/227840/total"" target=""_blank"">Naver Mobile</a>"
062040,산일전기,,87.23333333333335,,97.5,98.8,65.4,"<a href=""https://m.stock.naver.com/domestic/stock/062040/total"" target=""_blank"">Naver Mobile</a>"
443060,HD현대마린솔루션,,87.13333333333333,,85.7,94.3,81.4,"<a href=""https://m.stock.naver.com/domestic/stock/443060/total"" target=""_blank"">Naver Mobile</a>"
229640,LS에코에너지,,86.925,98.3,69.2,87.5,92.7,"<a href=""https://m.stock.naver.com/domestic/stock/229640/total"" target=""_blank"">Naver Mobile</a>"
086280,현대글로비스,,86.66666666666667,93.9,77.1,89.0,,"<a href=""https://m.stock.naver.com/domestic/stock/086280/total"" target=""_blank"">Naver Mobile</a>"
271560,오리온,,86.66666666666667,77.8,82.2,100.0,,"<a href=""https://m.stock.naver.com/domestic/stock/271560/total"" target=""_blank"">Naver Mobile</a>"
064350,현대로템,,86.6,100.0,81.2,85.2,80.0,"<a href=""https://m.stock.naver.com/domestic/stock/064350/total"" target=""_blank"">Naver Mobile</a>"
097520,엠씨넥스,,86.55000000000001,96.8,66.0,95.0,88.4,"<a href=""https://m.stock.naver.com/domestic/stock/097520/total"" target=""_blank"">Naver Mobile</a>"
